"Country","City","Building_Type","Room_Type","Building_ID","Room_ID"
"Poland","Poznan","Residential","Apartment",1,159
"Poland","Poznan","Residential","Apartment",1,189
"Poland","Poznan","Residential","Apartment",1,209
"Poland","Poznan","Residential","Apartment",1,214
"Poland","Poznan","Residential","Apartment",1,262
"Poland","Poznan","Residential","Apartment",1,309
"Poland","Poznan","Residential","Apartment",1,333
"Poland","Poznan","Residential","Apartment",1,338
"Poland","Poznan","Residential","Apartment",1,362
"Poland","Poznan","Residential","Apartment",1,406
"Poland","Poznan","Residential","Apartment",1,491
"Poland","Poznan","Residential","Apartment",1,549
"Poland","Poznan","Residential","Apartment",1,646
"Poland","Poznan","Residential","Apartment",1,698
"Poland","Poznan","Residential","Apartment",1,735
"Poland","Poznan","Residential","Apartment",1,901
"Poland","Poznan","Residential","Apartment",1,945
"Poland","Poznan","Residential","Apartment",2,108
"Poland","Poznan","Residential","Apartment",2,110
"Poland","Poznan","Residential","Apartment",2,221
"Poland","Poznan","Residential","Apartment",2,222
"Poland","Poznan","Residential","Apartment",2,226
"Poland","Poznan","Residential","Apartment",2,250
"Poland","Poznan","Residential","Apartment",2,283
"Poland","Poznan","Residential","Apartment",2,325
"Poland","Poznan","Residential","Apartment",2,355
"Poland","Poznan","Residential","Apartment",2,356
"Poland","Poznan","Residential","Apartment",2,357
"Poland","Poznan","Residential","Apartment",2,370
"Poland","Poznan","Residential","Apartment",2,464
"Poland","Poznan","Residential","Apartment",2,498
"Poland","Poznan","Residential","Apartment",2,508
"Poland","Poznan","Residential","Apartment",2,513
"Poland","Poznan","Residential","Apartment",2,577
"Poland","Poznan","Residential","Apartment",2,582
"Poland","Poznan","Residential","Apartment",2,587
"Poland","Poznan","Residential","Apartment",2,592
"Poland","Poznan","Residential","Apartment",2,678
"Poland","Poznan","Residential","Apartment",2,699
"Poland","Poznan","Residential","Apartment",2,700
"Poland","Poznan","Residential","Apartment",2,713
"Poland","Poznan","Residential","Apartment",2,718
"Poland","Poznan","Residential","Apartment",2,784
"Poland","Poznan","Residential","Apartment",2,796
"Poland","Poznan","Residential","Apartment",2,797
"Poland","Poznan","Residential","Apartment",2,857
"Poland","Poznan","Residential","Apartment",2,861
"Poland","Poznan","Residential","Apartment",2,926
"Poland","Poznan","Residential","Apartment",2,934
"Poland","Poznan","Residential","Apartment",2,964
"Poland","Poznan","Residential","Apartment",2,994
"Poland","Poznan","Residential","Apartment",3,146
"Poland","Poznan","Residential","Apartment",3,163
"Poland","Poznan","Residential","Apartment",3,312
"Poland","Poznan","Residential","Apartment",3,335
"Poland","Poznan","Residential","Apartment",3,359
"Poland","Poznan","Residential","Apartment",3,387
"Poland","Poznan","Residential","Apartment",3,388
"Poland","Poznan","Residential","Apartment",3,408
"Poland","Poznan","Residential","Apartment",3,422
"Poland","Poznan","Residential","Apartment",3,471
"Poland","Poznan","Residential","Apartment",3,476
"Poland","Poznan","Residential","Apartment",3,487
"Poland","Poznan","Residential","Apartment",3,534
"Poland","Poznan","Residential","Apartment",3,561
"Poland","Poznan","Residential","Apartment",3,578
"Poland","Poznan","Residential","Apartment",3,734
"Poland","Poznan","Residential","Apartment",3,790
"Poland","Poznan","Residential","Apartment",3,791
"Poland","Poznan","Residential","Apartment",3,816
"Poland","Poznan","Residential","Apartment",3,831
"Poland","Poznan","Residential","Apartment",3,868
"Poland","Poznan","Residential","Apartment",3,874
"Poland","Poznan","Residential","Apartment",3,909
"Poland","Poznan","Residential","Apartment",3,932
"Poland","Poznan","Residential","Apartment",3,981
"Poland","Poznan","Residential","Apartment",4,161
"Poland","Poznan","Residential","Apartment",4,166
"Poland","Poznan","Residential","Apartment",4,177
"Poland","Poznan","Residential","Apartment",4,199
"Poland","Poznan","Residential","Apartment",4,202
"Poland","Poznan","Residential","Apartment",4,259
"Poland","Poznan","Residential","Apartment",4,460
"Poland","Poznan","Residential","Apartment",4,544
"Poland","Poznan","Residential","Apartment",4,562
"Poland","Poznan","Residential","Apartment",4,584
"Poland","Poznan","Residential","Apartment",4,612
"Poland","Poznan","Residential","Apartment",4,639
"Poland","Poznan","Residential","Apartment",4,662
"Poland","Poznan","Residential","Apartment",4,668
"Poland","Poznan","Residential","Apartment",4,745
"Poland","Poznan","Residential","Apartment",4,775
"Poland","Poznan","Residential","Apartment",4,778
"Poland","Poznan","Residential","Apartment",4,883
"Poland","Poznan","Residential","Apartment",4,897
"Poland","Poznan","Residential","Apartment",4,899
"Poland","Poznan","Residential","Apartment",4,920
"Poland","Poznan","Residential","Apartment",4,923
"Poland","Poznan","Residential","Apartment",4,927
"Poland","Poznan","Residential","Apartment",4,982
"Poland","Poznan","Residential","Apartment",4,996
