Date_Time,Indoor_Temp[C],Indoor_RH[%],Room_ID,Building_ID
2018-01-27 16:35,19.48,48.70,1,1
2018-01-27 16:40,19.17,48.70,1,1
2018-01-27 16:45,19.12,48.75,1,1
2018-01-27 16:50,19.07,48.80,1,1
2018-01-27 16:55,19.07,48.67,1,1
2018-01-27 17:00,19.07,48.53,1,1
2018-01-27 17:05,19.07,48.45,1,1
2018-01-27 17:10,19.07,48.37,1,1
2018-01-27 17:15,19.07,48.15,1,1
2018-01-27 17:20,19.07,47.93,1,1
2018-01-27 17:25,19.02,47.77,1,1
2018-01-27 17:30,18.97,47.60,1,1
2018-01-27 17:35,18.98,47.72,1,1
2018-01-27 17:40,19.00,47.83,1,1
2018-01-27 17:45,18.97,47.65,1,1
2018-01-27 17:50,18.93,47.47,1,1
2018-01-27 17:55,18.88,47.70,1,1
2018-01-27 18:00,18.83,47.93,1,1
2018-01-27 18:05,18.85,48.28,1,1
2018-01-27 18:10,18.87,48.63,1,1
2018-01-27 18:15,18.92,48.63,1,1
2018-01-27 18:20,18.97,48.63,1,1
2018-01-27 18:25,18.97,48.48,1,1
2018-01-27 18:30,18.97,48.33,1,1
2018-01-27 18:35,18.97,48.43,1,1
2018-01-27 18:40,18.97,48.53,1,1
2018-01-27 18:45,18.95,48.52,1,1
2018-01-27 18:50,18.93,48.50,1,1
2018-01-27 18:55,18.95,48.45,1,1
2018-01-27 19:00,18.97,48.40,1,1
2018-01-27 19:05,18.97,48.45,1,1
2018-01-27 19:10,18.97,48.50,1,1
2018-01-27 19:15,18.98,48.65,1,1
2018-01-27 19:20,19.00,48.80,1,1
2018-01-27 19:25,19.02,48.88,1,1
2018-01-27 19:30,19.03,48.97,1,1
2018-01-27 19:35,19.05,48.95,1,1
2018-01-27 19:40,19.07,48.93,1,1
2018-01-27 19:45,19.08,48.98,1,1
2018-01-27 19:50,19.10,49.03,1,1
2018-01-27 19:55,19.08,48.65,1,1
2018-01-27 20:00,19.07,48.27,1,1
2018-01-27 20:05,19.07,48.73,1,1
2018-01-27 20:10,19.07,49.20,1,1
2018-01-27 20:15,19.02,49.48,1,1
2018-01-27 20:20,18.97,49.77,1,1
2018-01-27 20:25,18.98,49.82,1,1
2018-01-27 20:30,19.00,49.87,1,1
2018-01-27 20:35,19.08,50.08,1,1
2018-01-27 20:40,19.17,50.30,1,1
2018-01-27 20:45,19.20,50.25,1,1
2018-01-27 20:50,19.23,50.20,1,1
2018-01-27 20:55,19.20,50.15,1,1
2018-01-27 21:00,19.17,50.10,1,1
2018-01-27 21:05,19.13,50.10,1,1
2018-01-27 21:10,19.10,50.10,1,1
2018-01-27 21:15,19.12,49.93,1,1
2018-01-27 21:20,19.13,49.77,1,1
2018-01-27 21:25,19.13,49.77,1,1
2018-01-27 21:30,19.13,49.77,1,1
2018-01-27 21:35,19.13,49.65,1,1
2018-01-27 21:40,19.13,49.53,1,1
2018-01-27 21:45,19.13,49.50,1,1
2018-01-27 21:50,19.13,49.47,1,1
2018-01-27 21:55,19.12,49.57,1,1
2018-01-27 22:00,19.10,49.67,1,1
2018-01-27 22:05,19.12,49.62,1,1
2018-01-27 22:10,19.13,49.57,1,1
2018-01-27 22:15,19.10,49.10,1,1
2018-01-27 22:20,19.07,48.63,1,1
2018-01-27 22:25,19.00,48.90,1,1
2018-01-27 22:30,18.93,49.17,1,1
2018-01-27 22:35,18.88,48.90,1,1
2018-01-27 22:40,18.83,48.63,1,1
2018-01-27 22:45,18.87,49.08,1,1
2018-01-27 22:50,18.90,49.53,1,1
2018-01-27 22:55,18.93,49.55,1,1
2018-01-27 23:00,18.97,49.57,1,1
2018-01-27 23:05,18.97,49.48,1,1
2018-01-27 23:10,18.97,49.40,1,1
2018-01-27 23:15,18.92,49.27,1,1
2018-01-27 23:20,18.87,49.13,1,1
2018-01-28 11:10,18.30,46.70,1,1
2018-01-28 11:15,18.28,46.60,1,1
2018-01-28 11:20,18.27,46.50,1,1
2018-01-28 11:25,18.28,46.78,1,1
2018-01-28 11:30,18.30,47.07,1,1
2018-01-28 11:35,18.33,47.27,1,1
2018-01-28 11:40,18.37,47.47,1,1
2018-01-28 11:45,18.37,47.55,1,1
2018-01-28 11:50,18.37,47.63,1,1
2018-01-28 11:55,18.40,47.57,1,1
2018-01-28 12:00,18.43,47.50,1,1
2018-01-28 12:05,18.53,47.28,1,1
2018-01-28 12:10,18.63,47.07,1,1
2018-01-28 12:15,18.70,46.83,1,1
2018-01-28 12:20,18.77,46.60,1,1
2018-01-28 12:25,18.80,46.50,1,1
2018-01-28 12:30,18.83,46.40,1,1
2018-01-28 12:35,18.88,46.43,1,1
2018-01-28 12:40,18.93,46.47,1,1
2018-01-28 12:45,18.87,46.20,1,1
2018-01-28 12:50,18.80,45.93,1,1
2018-01-28 12:55,18.78,46.25,1,1
2018-01-28 13:00,18.77,46.57,1,1
2018-01-28 13:05,18.87,46.58,1,1
2018-01-28 13:10,18.97,46.60,1,1
2018-01-28 13:15,18.98,46.50,1,1
2018-01-28 13:20,19.00,46.40,1,1
2018-01-28 13:25,18.95,45.90,1,1
2018-01-28 13:30,18.90,45.40,1,1
2018-01-28 13:35,18.88,45.63,1,1
2018-01-28 13:40,18.87,45.87,1,1
2018-01-28 13:45,18.97,45.72,1,1
2018-01-28 13:50,19.07,45.57,1,1
2018-01-28 13:55,19.13,45.33,1,1
2018-01-28 14:00,19.20,45.10,1,1
2018-01-28 14:05,19.25,45.17,1,1
2018-01-28 14:10,19.30,45.23,1,1
2018-01-28 14:15,19.30,45.20,1,1
2018-01-28 14:20,19.30,45.17,1,1
2018-01-28 14:25,19.35,45.03,1,1
2018-01-28 14:30,19.40,44.90,1,1
2018-01-28 14:35,19.43,44.80,1,1
2018-01-28 14:40,19.47,44.70,1,1
2018-01-28 14:45,19.48,44.82,1,1
2018-01-28 14:50,19.50,44.93,1,1
2018-01-28 14:55,19.52,44.78,1,1
2018-01-28 15:00,19.53,44.63,1,1
2018-01-28 15:05,19.57,44.45,1,1
2018-01-28 15:10,19.60,44.27,1,1
2018-01-28 15:15,19.62,44.08,1,1
2018-01-28 15:20,19.63,43.90,1,1
2018-01-28 15:25,19.65,43.82,1,1
2018-01-28 15:30,19.67,43.73,1,1
2018-01-28 15:35,19.67,43.90,1,1
2018-01-28 15:40,19.67,44.07,1,1
2018-01-28 15:45,19.68,43.95,1,1
2018-01-28 15:50,19.70,43.83,1,1
2018-01-28 15:55,19.72,43.80,1,1
2018-01-28 16:00,19.73,43.77,1,1
2018-01-28 16:05,19.68,43.92,1,1
2018-01-28 16:10,19.63,44.07,1,1
2018-01-28 16:15,19.65,44.20,1,1
2018-01-28 16:20,19.67,44.33,1,1
2018-01-28 16:25,19.72,44.47,1,1
2018-01-28 16:30,19.77,44.60,1,1
2018-01-28 16:35,19.75,44.48,1,1
2018-01-28 16:40,19.73,44.37,1,1
2018-01-28 16:45,19.73,44.25,1,1
2018-01-28 16:50,19.73,44.13,1,1
2018-01-28 16:55,19.75,43.97,1,1
2018-01-28 17:00,19.77,43.80,1,1
2018-01-28 17:05,19.78,43.77,1,1
2018-01-28 17:10,19.80,43.73,1,1
2018-01-28 17:15,19.83,43.57,1,1
2018-01-28 17:20,19.87,43.40,1,1
2018-01-28 17:25,19.80,43.27,1,1
2018-01-28 17:30,19.73,43.13,1,1
2018-01-28 17:35,19.68,43.15,1,1
2018-01-28 17:40,19.63,43.17,1,1
2018-01-28 17:45,19.68,43.03,1,1
2018-01-28 17:50,19.73,42.90,1,1
2018-01-28 17:55,19.78,42.67,1,1
2018-01-28 18:00,19.83,42.43,1,1
2018-01-28 18:05,19.87,42.32,1,1
2018-01-28 18:10,19.90,42.20,1,1
2018-01-28 18:15,19.87,42.22,1,1
2018-01-28 18:20,19.83,42.23,1,1
2018-01-28 18:25,19.87,42.05,1,1
2018-01-28 18:30,19.90,41.87,1,1
2018-01-28 18:35,19.90,41.73,1,1
2018-01-28 18:40,19.90,41.60,1,1
2018-01-28 18:45,19.92,41.60,1,1
2018-01-28 18:50,19.93,41.60,1,1
2018-01-28 18:55,19.90,41.40,1,1
2018-01-28 19:00,19.87,41.20,1,1
2018-01-28 19:05,19.87,40.97,1,1
2018-01-28 19:10,19.87,40.73,1,1
2018-01-28 19:15,19.85,41.22,1,1
2018-01-28 19:20,19.83,41.70,1,1
2018-01-28 19:25,19.87,41.35,1,1
2018-01-28 19:30,19.90,41.00,1,1
2018-01-28 19:35,19.95,40.77,1,1
2018-01-28 19:40,20.00,40.53,1,1
2018-01-28 19:45,20.02,40.50,1,1
2018-01-28 19:50,20.03,40.47,1,1
2018-01-28 19:55,20.08,40.40,1,1
2018-01-28 20:00,20.13,40.33,1,1
2018-01-28 20:05,20.13,40.25,1,1
2018-01-28 20:10,20.13,40.17,1,1
2018-01-28 20:15,20.15,39.87,1,1
2018-01-28 20:20,20.17,39.57,1,1
2018-01-28 20:25,20.18,39.45,1,1
2018-01-28 20:30,20.20,39.33,1,1
2018-01-28 20:35,20.20,39.18,1,1
2018-01-28 20:40,20.20,39.03,1,1
2018-01-28 20:45,20.20,38.90,1,1
2018-01-28 20:50,20.20,38.77,1,1
2018-01-28 20:55,20.20,38.63,1,1
2018-01-28 21:00,20.20,38.50,1,1
2018-01-28 21:05,20.22,38.35,1,1
2018-01-28 21:10,20.23,38.20,1,1
2018-01-28 21:15,20.23,38.18,1,1
2018-01-28 21:20,20.23,38.17,1,1
2018-01-28 21:25,20.27,38.23,1,1
2018-01-28 21:30,20.30,38.30,1,1
2018-01-28 21:35,20.30,38.23,1,1
2018-01-28 21:40,20.30,38.17,1,1
2018-01-28 21:45,20.32,38.05,1,1
2018-01-28 21:50,20.33,37.93,1,1
2018-01-28 21:55,20.32,38.05,1,1
2018-01-28 22:00,20.30,38.17,1,1
2018-01-28 22:05,20.30,38.07,1,1
2018-01-28 22:10,20.30,37.97,1,1
2018-01-28 22:15,20.30,37.77,1,1
2018-01-28 22:20,20.30,37.57,1,1
2018-01-28 22:25,20.32,37.85,1,1
2018-01-28 22:30,20.33,38.13,1,1
2018-01-28 22:35,20.30,37.75,1,1
2018-01-28 23:10,19.93,36.57,1,1
2018-01-28 23:15,19.95,36.42,1,1
2018-01-29 10:00,18.83,36.07,1,1
2018-01-29 10:05,18.83,36.07,1,1
2018-01-29 10:10,18.83,36.07,1,1
2018-01-29 10:15,18.85,36.07,1,1
2018-01-29 10:20,18.87,36.07,1,1
2018-01-29 10:25,18.92,36.35,1,1
2018-01-29 10:30,18.97,36.63,1,1
2018-01-29 10:35,18.97,36.70,1,1
2018-01-29 10:40,18.97,36.77,1,1
2018-01-29 10:45,19.00,36.80,1,1
2018-01-29 10:50,19.03,36.83,1,1
2018-01-29 10:55,19.07,37.02,1,1
2018-01-29 11:00,19.10,37.20,1,1
2018-01-29 11:05,19.12,37.68,1,1
2018-01-29 11:10,19.13,38.17,1,1
2018-01-29 11:15,19.07,37.83,1,1
2018-01-29 11:20,19.00,37.50,1,1
2018-01-29 11:25,19.12,38.23,1,1
2018-01-29 11:30,19.23,38.97,1,1
2018-01-29 11:35,19.30,39.18,1,1
2018-01-29 11:40,19.37,39.40,1,1
2018-01-29 11:45,19.40,39.63,1,1
2018-01-29 11:50,19.43,39.87,1,1
2018-01-29 11:55,19.43,39.63,1,1
2018-01-29 12:00,19.43,39.40,1,1
2018-01-29 12:05,19.52,40.10,1,1
2018-01-29 12:10,19.60,40.80,1,1
2018-01-29 12:15,19.68,41.08,1,1
2018-01-29 12:20,19.77,41.37,1,1
2018-01-29 12:25,19.83,41.43,1,1
2018-01-29 12:30,19.90,41.50,1,1
2018-01-29 12:35,19.88,41.22,1,1
2018-01-29 12:40,19.87,40.93,1,1
2018-01-29 12:45,19.77,39.63,1,1
2018-01-29 12:50,19.67,38.33,1,1
2018-01-29 12:55,19.77,39.73,1,1
2018-01-29 13:00,19.87,41.13,1,1
2018-01-29 13:05,20.03,41.97,1,1
2018-01-29 13:10,20.20,42.80,1,1
2018-01-29 13:15,20.35,43.28,1,1
2018-01-29 13:20,20.50,43.77,1,1
2018-01-29 13:25,20.45,42.82,1,1
2018-01-29 13:30,20.40,41.87,1,1
2018-01-29 13:35,20.55,43.33,1,1
2018-01-29 13:40,20.70,44.80,1,1
2018-01-29 13:45,20.72,44.75,1,1
2018-01-29 13:50,20.73,44.70,1,1
2018-01-29 13:55,20.78,45.13,1,1
2018-01-29 14:00,20.83,45.57,1,1
2018-01-29 14:05,20.88,45.38,1,1
2018-01-29 14:10,20.93,45.20,1,1
2018-01-29 14:15,20.98,45.60,1,1
2018-01-29 14:20,21.03,46.00,1,1
2018-01-29 14:25,21.10,46.13,1,1
2018-01-29 14:30,21.17,46.27,1,1
2018-01-29 14:35,21.18,46.22,1,1
2018-01-29 14:40,21.20,46.17,1,1
2018-01-29 14:45,21.20,46.55,1,1
2018-01-29 14:50,21.20,46.93,1,1
2018-01-29 14:55,21.22,46.70,1,1
2018-01-29 15:00,21.23,46.47,1,1
2018-01-29 15:05,21.28,46.95,1,1
2018-01-29 15:10,21.33,47.43,1,1
2018-01-29 15:15,21.33,47.57,1,1
2018-01-29 15:20,21.33,47.70,1,1
2018-01-29 15:25,21.37,47.45,1,1
2018-01-29 15:30,21.40,47.20,1,1
2018-01-29 15:35,21.35,46.40,1,1
2018-01-29 15:40,21.30,45.60,1,1
2018-01-29 15:45,21.35,46.37,1,1
2018-01-29 15:50,21.40,47.13,1,1
2018-01-29 15:55,21.45,47.65,1,1
2018-01-29 16:00,21.50,48.17,1,1
2018-01-29 16:05,21.48,48.07,1,1
2018-01-29 16:10,21.47,47.97,1,1
2018-01-29 16:15,21.43,46.35,1,1
2018-01-29 16:20,21.40,44.73,1,1
2018-01-29 16:25,21.32,42.93,1,1
2018-01-29 16:30,21.23,41.13,1,1
2018-01-29 16:35,20.78,39.53,1,1
2018-01-29 16:40,20.33,37.93,1,1
2018-01-29 16:45,20.60,39.92,1,1
2018-01-29 16:50,20.87,41.90,1,1
2018-01-29 16:55,20.92,42.28,1,1
2018-01-29 17:00,20.97,42.67,1,1
2018-01-29 17:05,21.02,43.35,1,1
2018-01-29 17:10,21.07,44.03,1,1
2018-01-29 17:15,21.08,44.13,1,1
2018-01-29 17:20,21.10,44.23,1,1
2018-01-29 17:25,21.10,44.02,1,1
2018-01-29 17:30,21.10,43.80,1,1
2018-01-29 17:35,21.12,44.08,1,1
2018-01-29 17:40,21.13,44.37,1,1
2018-01-29 17:45,21.13,43.68,1,1
2018-01-29 17:50,21.13,43.00,1,1
2018-01-29 17:55,21.00,40.38,1,1
2018-01-29 18:00,20.87,37.77,1,1
2018-01-29 18:05,20.50,37.72,1,1
2018-01-29 18:10,20.13,37.67,1,1
2018-01-29 18:15,20.22,38.83,1,1
2018-01-29 18:20,20.30,40.00,1,1
2018-01-29 18:25,20.33,40.07,1,1
2018-01-29 18:30,20.37,40.13,1,1
2018-01-29 18:35,20.33,40.22,1,1
2018-01-29 18:40,20.30,40.30,1,1
2018-01-29 18:45,20.35,40.48,1,1
2018-01-29 18:50,20.40,40.67,1,1
2018-01-29 18:55,20.42,40.70,1,1
2018-01-29 19:00,20.43,40.73,1,1
2018-01-29 19:05,20.47,41.27,1,1
2018-01-29 19:10,20.50,41.80,1,1
2018-01-29 19:15,20.55,42.32,1,1
2018-01-29 19:20,20.60,42.83,1,1
2018-01-29 19:25,20.62,42.45,1,1
2018-01-29 19:30,20.63,42.07,1,1
2018-01-29 19:35,20.63,42.47,1,1
2018-01-29 19:40,20.63,42.87,1,1
2018-01-29 19:45,20.63,42.67,1,1
2018-01-29 19:50,20.63,42.47,1,1
2018-01-29 19:55,20.65,41.92,1,1
2018-01-29 20:00,20.67,41.37,1,1
2018-01-29 20:05,20.63,41.52,1,1
2018-01-29 20:10,20.60,41.67,1,1
2018-01-29 20:15,20.55,41.72,1,1
2018-01-29 20:20,20.50,41.77,1,1
2018-01-29 20:25,20.53,42.12,1,1
2018-01-29 20:30,20.57,42.47,1,1
2018-01-29 20:35,20.58,42.32,1,1
2018-01-29 20:40,20.60,42.17,1,1
2018-01-29 20:45,20.62,42.03,1,1
2018-01-29 20:50,20.63,41.90,1,1
2018-01-29 20:55,20.62,41.45,1,1
2018-01-29 21:00,20.60,41.00,1,1
2018-01-29 21:05,20.60,41.05,1,1
2018-01-29 21:10,20.60,41.10,1,1
2018-01-29 21:15,20.58,41.18,1,1
2018-01-29 21:20,20.57,41.27,1,1
2018-01-29 21:25,20.58,41.42,1,1
2018-01-29 21:30,20.60,41.57,1,1
2018-01-29 21:35,20.62,41.82,1,1
2018-01-29 21:40,20.63,42.07,1,1
2018-01-29 21:45,20.65,41.40,1,1
2018-01-29 21:50,20.67,40.73,1,1
2018-01-29 21:55,20.63,40.72,1,1
2018-01-29 22:00,20.60,40.70,1,1
2018-01-29 22:05,20.60,40.97,1,1
2018-01-29 22:10,20.60,41.23,1,1
2018-01-29 22:15,20.60,41.35,1,1
2018-01-29 22:20,20.60,41.47,1,1
2018-01-29 22:25,20.60,41.35,1,1
2018-01-29 22:30,20.60,41.23,1,1
2018-01-29 22:35,20.53,40.70,1,1
2018-01-29 22:40,20.47,40.17,1,1
2018-01-29 22:45,20.47,40.33,1,1
2018-01-29 22:50,20.47,40.50,1,1
2018-01-29 22:55,20.40,39.25,1,1
2018-01-29 23:00,20.33,38.00,1,1
2018-01-29 23:05,20.17,37.03,1,1
2018-01-29 23:10,20.00,36.07,1,1
2018-01-30 11:15,19.10,35.25,1,1
2018-01-30 11:20,19.10,35.17,1,1
2018-01-30 11:25,19.10,35.23,1,1
2018-01-30 11:30,19.10,35.30,1,1
2018-01-30 11:35,19.12,35.33,1,1
2018-01-30 11:40,19.13,35.37,1,1
2018-01-30 11:45,19.17,35.77,1,1
2018-01-30 11:50,19.20,36.17,1,1
2018-01-30 11:55,19.23,36.12,1,1
2018-01-30 12:00,19.27,36.07,1,1
2018-01-30 12:05,19.28,36.15,1,1
2018-01-30 12:10,19.30,36.23,1,1
2018-01-30 12:15,19.28,36.22,1,1
2018-01-30 12:20,19.27,36.20,1,1
2018-01-30 12:25,19.30,37.00,1,1
2018-01-30 12:30,19.33,37.80,1,1
2018-01-30 12:35,19.50,38.50,1,1
2018-01-30 12:40,19.67,39.20,1,1
2018-01-30 12:45,19.72,39.68,1,1
2018-01-30 12:50,19.77,40.17,1,1
2018-01-30 12:55,19.82,39.87,1,1
2018-01-30 13:00,19.87,39.57,1,1
2018-01-30 13:05,19.92,40.12,1,1
2018-01-30 13:10,19.97,40.67,1,1
2018-01-30 13:15,20.05,40.67,1,1
2018-01-30 13:20,20.13,40.67,1,1
2018-01-30 13:25,20.20,40.57,1,1
2018-01-30 13:30,20.27,40.47,1,1
2018-01-30 13:35,20.32,39.63,1,1
2018-01-30 13:40,20.37,38.80,1,1
2018-01-30 13:45,20.42,38.52,1,1
2018-01-30 13:50,20.47,38.23,1,1
2018-01-30 13:55,20.50,38.10,1,1
2018-01-30 14:00,20.53,37.97,1,1
2018-01-30 14:05,20.58,37.75,1,1
2018-01-30 14:10,20.63,37.53,1,1
2018-01-30 14:15,20.63,37.07,1,1
2018-01-30 14:20,20.63,36.60,1,1
2018-01-30 14:25,20.68,36.13,1,1
2018-01-30 14:30,20.73,35.67,1,1
2018-01-30 14:35,20.75,35.38,1,1
2018-01-30 14:40,20.77,35.10,1,1
2018-01-30 14:45,20.82,34.93,1,1
2018-01-30 14:50,20.87,34.77,1,1
2018-01-30 14:55,20.87,34.83,1,1
2018-01-30 15:00,20.87,34.90,1,1
2018-01-30 15:05,20.90,34.93,1,1
2018-01-30 15:10,20.93,34.97,1,1
2018-01-30 15:15,20.97,34.93,1,1
2018-01-30 15:20,21.00,34.90,1,1
2018-01-30 15:25,21.02,35.15,1,1
2018-01-30 15:30,21.03,35.40,1,1
2018-01-30 15:35,21.05,35.35,1,1
2018-01-30 15:40,21.07,35.30,1,1
2018-01-30 15:45,21.08,35.33,1,1
2018-01-30 15:50,21.10,35.37,1,1
2018-01-30 15:55,21.10,35.32,1,1
2018-01-30 16:00,21.10,35.27,1,1
2018-01-30 16:05,21.10,35.10,1,1
2018-01-30 16:10,21.10,34.93,1,1
2018-01-30 16:15,21.07,35.20,1,1
2018-01-30 16:20,21.03,35.47,1,1
2018-01-30 16:25,20.92,35.68,1,1
2018-01-30 16:30,20.80,35.90,1,1
2018-01-30 16:35,20.75,36.23,1,1
2018-01-30 16:40,20.70,36.57,1,1
