CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
454,24.60,65.40,19.34,94.40,2.270,36.000,Turning-off Behavior,A
445,24.40,43.80,24.03,27.10,2.970,119.000,Turning-off Behavior,A
553,24.50,70.80,27.26,69.10,2.270,34.000,Turning-off Behavior,A
421,24.20,66.00,25.91,59.90,396.500,223.000,Turning-off Behavior,A
439,23.40,64.40,26.22,59.00,143.970,175.000,Turning-off Behavior,A
447,25.10,60.60,32.98,39.70,481.840,159.000,Turning-off Behavior,A
442,26.10,58.80,33.57,34.90,644.580,260.000,Turning-off Behavior,A
563,24.30,59.10,30.78,38.80,4.840,61.000,Turning-off Behavior,A
509,24.60,63.40,27.95,53.20,634.990,141.000,Turning-off Behavior,A
488,24.60,72.60,29.91,68.60,2.510,53.000,Turning-off Behavior,A
437,24.10,74.40,21.38,95.50,2.270,65.000,Turning-off Behavior,A
482,24.10,68.00,25.32,63.60,603.660,214.000,Turning-off Behavior,A
559,23.70,69.30,31.81,60.40,86.680,91.000,Turning-off Behavior,A
422,25.10,76.00,30.84,62.70,2.510,66.000,Turning-off Behavior,A
419,25.20,77.50,29.51,73.70,1.800,40.000,Turning-off Behavior,A
488,24.50,72.70,31.75,57.20,68.210,50.000,Turning-off Behavior,A
458,25.90,72.00,34.29,56.90,423.390,239.000,Turning-off Behavior,A
455,24.40,65.40,28.24,79.60,1.570,0.000,Turning-off Behavior,A
503,24.80,69.10,25.32,99.30,2.270,21.000,Turning-off Behavior,A
423,24.90,73.40,32.71,58.00,4.840,230.000,Turning-off Behavior,A
482,25.40,58.20,26.87,49.60,2.510,2104.000,Turning-off Behavior,A
490,23.20,61.30,26.77,45.60,4.140,109.000,Turning-off Behavior,A
472,25.10,64.90,32.41,50.70,249.660,280.000,No Turning-off Behavior,A
482,24.80,66.10,33.35,47.20,392.520,239.000,No Turning-off Behavior,A
486,24.60,66.80,33.40,47.00,541.930,277.000,No Turning-off Behavior,A
496,24.50,67.20,32.66,50.20,524.400,260.000,No Turning-off Behavior,A
532,24.50,67.50,33.07,49.60,321.200,212.000,No Turning-off Behavior,A
546,24.40,67.80,32.25,51.80,83.880,189.000,No Turning-off Behavior,A
544,24.40,68.10,33.02,49.40,423.620,240.000,No Turning-off Behavior,A
555,24.40,68.10,32.94,49.90,272.800,200.000,No Turning-off Behavior,A
564,24.30,68.10,32.54,50.80,138.360,180.000,No Turning-off Behavior,A
572,24.10,68.80,32.73,50.00,245.450,179.000,No Turning-off Behavior,A
575,24.00,69.00,32.66,49.60,155.890,181.000,No Turning-off Behavior,A
587,24.00,69.00,32.27,51.20,169.690,140.000,No Turning-off Behavior,A
591,23.90,68.90,32.53,50.30,204.060,148.000,No Turning-off Behavior,A
604,23.90,69.10,31.87,52.60,12.790,119.000,No Turning-off Behavior,A
604,24.00,69.20,31.56,54.20,157.060,139.000,No Turning-off Behavior,A
615,23.90,69.30,31.70,53.80,38.980,118.000,No Turning-off Behavior,A
614,23.70,68.80,31.51,53.80,166.880,111.000,No Turning-off Behavior,A
597,23.60,68.70,31.34,54.20,106.090,110.000,No Turning-off Behavior,A
577,23.60,68.70,31.18,54.00,8.820,68.000,No Turning-off Behavior,A
568,23.40,69.10,31.00,54.90,91.360,82.000,No Turning-off Behavior,A
540,23.40,69.00,31.09,54.90,26.120,89.000,No Turning-off Behavior,A
530,23.30,69.20,30.90,55.30,15.600,72.000,No Turning-off Behavior,A
524,23.20,69.20,30.61,56.90,6.010,62.000,No Turning-off Behavior,A
508,23.20,69.40,30.38,56.70,4.380,58.000,No Turning-off Behavior,A
511,23.10,69.70,30.17,57.70,4.140,53.000,No Turning-off Behavior,A
434,24.60,64.80,18.39,99.10,2.040,41.000,No Turning-off Behavior,A
455,24.70,64.90,18.49,98.70,1.570,45.000,No Turning-off Behavior,A
469,24.70,65.10,18.79,98.20,2.040,54.000,No Turning-off Behavior,A
458,24.70,65.40,19.03,97.50,1.800,63.000,No Turning-off Behavior,A
468,24.70,65.40,19.15,95.80,1.800,44.000,No Turning-off Behavior,A
448,23.50,47.00,23.56,30.20,2.270,104.000,No Turning-off Behavior,A
454,24.20,45.20,24.34,29.30,1.100,108.000,No Turning-off Behavior,A
617,24.90,62.10,27.29,68.20,2.510,43.000,No Turning-off Behavior,A
659,23.90,64.50,27.04,67.30,1.800,35.000,No Turning-off Behavior,A
649,23.40,65.50,26.95,64.50,2.040,36.000,No Turning-off Behavior,A
642,23.30,64.70,26.97,63.30,1.800,34.000,No Turning-off Behavior,A
632,22.80,65.90,26.89,63.20,2.270,29.000,No Turning-off Behavior,A
614,22.70,65.40,26.91,63.70,1.570,24.000,No Turning-off Behavior,A
