Temperature_Indoor [C],Relative_Humidity_Indoor [%],Indoor_Illumination [LUX],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Shading_Status_last,Class,Room_ID
27.20,62.20,349,21.83,87.00,2.510,87.000,0,Rolling Up,C
24.70,38.10,672,20.32,39.00,762.430,263.000,0.5,Rolling Up,C
26.90,41.90,355,26.92,35.90,43.890,100.000,0,Rolling Up,C
25.10,58.90,349,16.90,88.70,2.510,58.000,0.5,Rolling Up,C
25.60,51.40,483,23.35,48.70,655.800,229.000,0,Rolling Up,C
22.10,47.70,642,18.93,51.50,762.430,304.000,0.5,Rolling Up,C
28.10,64.60,597,31.71,53.40,112.640,134.000,0,Rolling Up,C
25.40,67.70,197,21.26,96.30,2.740,37.000,0.5,Rolling Up,C
26.30,71.00,682,25.20,79.30,3.680,182.000,0,Rolling Up,C
26.80,36.90,477,27.53,16.90,7.180,108.000,0,Rolling Up,C
26.00,69.80,235,23.18,90.90,1.800,41.000,0,Rolling Up,C
26.50,60.00,249,22.00,73.90,2.740,53.000,0.5,Rolling Up,C
26.90,62.10,702,24.06,72.90,242.170,168.000,0.5,Rolling Up,C
26.30,54.50,1040,28.43,39.40,6.010,193.000,0,Rolling Up,C
27.50,48.70,540,30.10,34.40,62.830,158.000,0,Rolling Up,C
28.20,61.10,486,28.92,56.10,29.400,128.000,0.5,Rolling Up,C
27.00,61.30,659,27.36,56.60,627.740,137.000,0.8,Rolling Up,C
28.10,54.70,535,26.91,54.30,585.660,112.000,0.5,Rolling Up,C
26.60,62.20,331,28.96,50.90,53.950,155.000,0,Rolling Up,C
26.60,59.20,720,31.25,60.40,47.400,167.000,0.5,Rolling Up,C
26.20,61.90,414,28.42,53.10,518.320,110.000,0.5,Rolling Up,C
25.90,65.30,307,24.27,78.30,2.510,62.000,0,Rolling Up,C
28.60,71.80,189,33.60,59.40,11.160,37.000,0.5,Rolling Up,C
27.10,69.90,473,32.97,61.90,580.280,126.000,0,Rolling Up,C
30.30,62.50,796,35.29,43.90,14.660,209.000,0.5,Rolling Up,C
28.50,58.50,576,35.43,43.90,87.850,147.000,0,Rolling Up,C
29.70,61.70,487,34.78,46.20,7.420,114.000,0.5,Rolling Up,C
27.40,69.60,907,31.06,64.30,342.010,219.000,0,Rolling Up,C
25.10,61.80,572,30.24,67.60,2.740,101.000,0,Rolling Up,C
25.80,68.90,318,-52.39,84.40,0.000,50.000,0.5,Rolling Up,C
27.40,65.20,480,32.70,53.30,4.840,116.000,0.5,Rolling Up,C
26.50,63.70,815,33.82,51.90,25.190,193.000,0,Rolling Up,C
24.90,52.00,781,27.09,36.70,4.610,168.000,0.8,Rolling Up,C
25.80,51.80,621,24.98,44.40,4.610,0.000,0.5,Rolling Up,C
26.50,35.80,2000,21.58,32.10,720.100,0.000,0.5,Rolling Up,C
24.60,53.50,1633,18.91,70.70,32.440,0.000,0.5,Rolling Up,C
26.20,45.90,2000,21.94,36.00,539.130,0.000,0.5,Rolling Up,C
23.90,47.70,2000,18.96,50.70,393.460,0.000,0.5,Rolling Up,C
22.40,65.50,172,16.23,100.00,1.570,0.000,0,Rolling Up,C
23.00,60.20,875,19.32,67.00,17.000,0.000,0.3,Rolling Up,C
