CO2 [ppm],Temperature_Indoor [C],Relative_Humidity_Indoor [%],Temperature_Outdoor [C],Relative_Humidity_Outdoor [%],Solar_Radiation [w/m2],Southward_Vertical_Irradiance [w/m2],Class,Room_ID
465,22.90,42.10,20.19,39.40,754.940,263.000,Turning-on Behavior,A
513,26.00,36.30,25.13,25.30,126.670,121.000,Turning-on Behavior,A
469,25.00,57.30,17.13,89.60,1.340,7.000,Turning-on Behavior,A
417,23.90,44.50,20.44,44.80,16.540,319.000,Turning-on Behavior,A
583,25.10,43.20,21.91,37.90,83.640,122.000,Turning-on Behavior,A
499,24.60,74.00,30.53,61.90,15.600,141.000,Turning-on Behavior,A
469,24.70,65.10,18.79,98.20,2.040,54.000,Turning-on Behavior,A
576,26.00,72.60,21.65,97.90,2.740,29.000,Turning-on Behavior,A
596,26.20,66.10,22.45,91.40,2.040,79.000,Turning-on Behavior,A
575,22.90,68.20,27.83,64.00,2.970,74.000,Turning-on Behavior,A
557,25.90,61.60,22.58,69.70,4.840,149.000,Turning-on Behavior,A
446,26.50,63.30,19.63,91.60,1.800,1.000,Turning-on Behavior,A
434,25.90,68.00,24.84,100.00,2.740,124.000,Turning-on Behavior,A
533,25.10,70.90,32.87,55.50,14.660,161.000,Turning-on Behavior,A
538,24.40,72.40,32.06,61.20,11.160,180.000,Turning-on Behavior,A
526,23.90,76.30,30.45,77.90,2.970,10.000,Turning-on Behavior,A
465,24.40,72.70,-51.37,73.70,0.000,128.000,Turning-on Behavior,A
528,24.90,73.10,32.71,61.50,14.660,184.000,Turning-on Behavior,A
481,25.10,73.90,33.84,56.30,681.760,253.000,Turning-on Behavior,A
459,24.30,73.10,29.32,67.40,527.670,132.000,Turning-on Behavior,A
448,24.70,75.20,29.19,73.30,3.440,142.000,Turning-on Behavior,A
459,25.80,72.00,30.18,70.40,763.130,90.000,Turning-on Behavior,A
493,25.30,71.00,30.33,67.20,769.210,98.000,Turning-on Behavior,A
455,25.60,67.50,29.62,62.00,815.970,92.000,Turning-on Behavior,A
463,24.60,70.80,30.24,62.00,701.160,97.000,Turning-on Behavior,A
436,24.70,70.90,30.57,59.50,799.840,115.000,Turning-on Behavior,A
434,25.50,67.40,30.53,72.10,406.780,162.000,Turning-on Behavior,A
427,25.20,66.80,30.99,67.70,633.820,189.000,Turning-on Behavior,A
465,25.00,71.40,31.80,70.90,9.750,231.000,Turning-on Behavior,A
493,24.80,73.40,26.98,95.00,1.100,4.000,Turning-on Behavior,A
427,25.10,77.20,30.90,64.10,70.550,118.000,Turning-on Behavior,A
413,25.80,69.40,33.04,55.50,635.230,1618.000,Turning-on Behavior,A
516,23.80,75.90,32.47,62.20,522.990,5764.000,Turning-on Behavior,A
481,24.30,73.70,32.58,60.20,189.330,0.000,Turning-on Behavior,A
585,23.90,69.80,33.47,51.70,372.650,296.000,Turning-on Behavior,A
432,25.90,57.70,23.38,59.70,692.980,0.000,Turning-on Behavior,A
732,26.00,54.80,21.35,65.50,1.570,0.000,Turning-on Behavior,A
464,24.10,44.60,18.25,49.30,2.510,0.000,Turning-on Behavior,A
681,25.30,45.20,19.19,37.00,4.140,0.000,Turning-on Behavior,A
490,22.80,43.00,20.56,35.40,667.730,0.000,Turning-on Behavior,A
430,23.90,53.00,22.95,46.90,19.580,0.000,Turning-on Behavior,A
442,24.00,41.30,24.25,23.40,20.740,0.000,Turning-on Behavior,A
462,24.80,34.30,24.52,17.50,595.480,0.000,Turning-on Behavior,A
504,24.90,33.10,24.20,19.40,593.370,0.000,Turning-on Behavior,A
549,25.20,37.40,23.88,28.00,718.230,324.000,No Turning-on Behavior,A
598,25.40,38.50,23.74,27.60,735.770,318.000,No Turning-on Behavior,A
665,25.50,38.80,24.21,26.70,220.430,301.000,No Turning-on Behavior,A
649,25.60,38.80,24.13,26.80,693.210,294.000,No Turning-on Behavior,A
636,25.60,38.60,24.18,25.90,685.730,283.000,No Turning-on Behavior,A
615,25.70,38.60,24.01,28.00,687.600,270.000,No Turning-on Behavior,A
624,25.80,38.60,24.45,26.80,686.670,254.000,No Turning-on Behavior,A
680,25.80,38.90,24.15,26.30,138.360,240.000,No Turning-on Behavior,A
682,25.90,38.80,24.97,25.70,677.780,219.000,No Turning-on Behavior,A
758,26.00,39.20,24.94,25.10,59.330,197.000,No Turning-on Behavior,A
777,26.00,39.20,25.42,25.30,611.850,173.000,No Turning-on Behavior,A
800,26.00,39.20,25.35,21.80,603.190,153.000,No Turning-on Behavior,A
798,26.10,38.80,25.10,23.40,563.210,134.000,No Turning-on Behavior,A
699,26.00,37.90,24.78,24.20,537.960,129.000,No Turning-on Behavior,A
520,24.60,58.90,19.09,79.20,2.040,44.000,No Turning-on Behavior,A
556,24.80,58.60,18.74,80.40,2.270,32.000,No Turning-on Behavior,A
556,24.90,58.40,18.41,82.50,2.040,44.000,No Turning-on Behavior,A
582,25.00,58.50,18.61,82.40,1.570,34.000,No Turning-on Behavior,A
634,25.10,58.40,18.26,83.80,2.270,26.000,No Turning-on Behavior,A
606,25.20,58.20,18.06,84.80,2.270,34.000,No Turning-on Behavior,A
587,25.30,58.00,17.77,85.70,2.510,29.000,No Turning-on Behavior,A
522,25.10,58.00,17.38,88.90,2.040,69.000,No Turning-on Behavior,A
492,24.90,58.10,17.57,89.60,2.040,34.000,No Turning-on Behavior,A
477,24.90,58.50,17.32,91.60,1.800,31.000,No Turning-on Behavior,A
502,25.10,58.30,17.14,92.60,2.270,30.000,No Turning-on Behavior,A
524,25.10,58.20,16.98,93.00,1.800,24.000,No Turning-on Behavior,A
