HVAC_Measurement_ID,Date_Time,Heating_Status[0-OFF;1-ON],Cooling_Status[0-OFF;1-ON],VAV_Opening[%],Heating_Energy[GJ],Heating_Water[m3],Temp_Setpoint[C],Supply_Air_Temp[C],Return_Air_Temp[C],Duct_Air_Flowrate[cfm],HVAC_Zone_ID,Room_ID,Building_ID
,3/1/2015,,,,5.29,55.8,,,,,,159,1
,3/2/2015,,,,5.36,56.45,,,,,,159,1
,3/3/2015,,,,5.42,56.97,,,,,,159,1
,3/4/2015,,,,5.48,57.52,,,,,,159,1
,3/5/2015,,,,5.56,58.15,,,,,,159,1
,3/6/2015,,,,5.64,58.91,,,,,,159,1
,3/7/2015,,,,5.68,59.27,,,,,,159,1
,3/8/2015,,,,5.74,59.83,,,,,,159,1
,3/9/2015,,,,5.78,60.38,,,,,,159,1
,3/10/2015,,,,5.8,60.63,,,,,,159,1
,3/11/2015,,,,5.87,61.44,,,,,,159,1
,3/12/2015,,,,5.92,62.08,,,,,,159,1
,3/13/2015,,,,5.97,62.73,,,,,,159,1
,3/14/2015,,,,6.04,63.54,,,,,,159,1
,3/15/2015,,,,6.09,64.14,,,,,,159,1
,3/16/2015,,,,6.13,64.52,,,,,,159,1
,3/17/2015,,,,6.17,64.94,,,,,,159,1
,3/18/2015,,,,6.22,65.48,,,,,,159,1
,3/19/2015,,,,6.25,65.84,,,,,,159,1
,3/20/2015,,,,6.27,66.13,,,,,,159,1
,3/21/2015,,,,6.32,66.65,,,,,,159,1
,3/22/2015,,,,6.4,67.55,,,,,,159,1
,3/23/2015,,,,6.45,68.14,,,,,,159,1
,3/24/2015,,,,6.48,68.44,,,,,,159,1
,3/25/2015,,,,6.52,68.8,,,,,,159,1
,3/26/2015,,,,6.56,69.33,,,,,,159,1
,3/27/2015,,,,6.62,70.03,,,,,,159,1
,3/28/2015,,,,6.66,70.42,,,,,,159,1
,3/29/2015,,,,6.74,71.28,,,,,,159,1
,3/30/2015,,,,6.77,71.65,,,,,,159,1
,3/31/2015,,,,6.83,72.3,,,,,,159,1
,4/1/2015,,,,6.91,73.21,,,,,,159,1
,4/2/2015,,,,6.98,74.11,,,,,,159,1
,4/3/2015,,,,7.04,74.74,,,,,,159,1
,4/4/2015,,,,7.11,75.54,,,,,,159,1
,4/5/2015,,,,7.15,75.96,,,,,,159,1
,4/6/2015,,,,7.22,76.64,,,,,,159,1
,4/7/2015,,,,7.28,77.41,,,,,,159,1
,4/8/2015,,,,7.31,77.71,,,,,,159,1
,4/9/2015,,,,7.34,78.06,,,,,,159,1
,4/10/2015,,,,7.37,78.32,,,,,,159,1
,4/11/2015,,,,7.4,78.69,,,,,,159,1
,4/12/2015,,,,7.43,78.94,,,,,,159,1
,4/13/2015,,,,7.46,79.24,,,,,,159,1
,4/14/2015,,,,7.48,79.46,,,,,,159,1
,4/15/2015,,,,7.5,79.68,,,,,,159,1
,4/16/2015,,,,7.54,80.06,,,,,,159,1
,4/17/2015,,,,7.56,80.29,,,,,,159,1
,4/18/2015,,,,7.59,80.68,,,,,,159,1
,4/19/2015,,,,7.62,80.99,,,,,,159,1
,4/20/2015,,,,7.65,81.28,,,,,,159,1
,4/21/2015,,,,7.67,81.52,,,,,,159,1
,4/22/2015,,,,7.7,81.84,,,,,,159,1
,4/23/2015,,,,7.73,82.15,,,,,,159,1
,4/24/2015,,,,7.76,82.46,,,,,,159,1
,4/25/2015,,,,7.79,82.76,,,,,,159,1
,4/26/2015,,,,7.82,83.14,,,,,,159,1
,4/27/2015,,,,7.84,83.42,,,,,,159,1
,4/28/2015,,,,7.88,83.78,,,,,,159,1
,4/29/2015,,,,7.92,84.26,,,,,,159,1
,4/30/2015,,,,7.95,84.58,,,,,,159,1
,5/1/2015,,,,7.98,84.97,,,,,,159,1
,5/2/2015,,,,8.02,85.37,,,,,,159,1
,5/3/2015,,,,8.04,85.56,,,,,,159,1
,5/4/2015,,,,8.07,85.89,,,,,,159,1
,5/5/2015,,,,8.09,86.17,,,,,,159,1
,5/6/2015,,,,8.12,86.49,,,,,,159,1
