"Country","City","Building_Type","Room_Type","Building_ID","Room_ID"
"China","Beijing","Commercial","Office",1,1
"China","Beijing","Commercial","Office",1,2
"China","Beijing","Commercial","Office",1,3
"China","Beijing","Commercial","Office",1,4
"China","Beijing","Commercial","Office",1,5
"China","Beijing","Commercial","Office",1,6
"China","Beijing","Residential","Apartment",9,1
"China","Beijing","Residential","Apartment",9,2
"China","Beijing","Residential","Apartment",9,3
"China","Suzhou","Educational","Office",2,1
"China","Suzhou","Educational","Office",2,2
"China","Suzhou","Educational","Office",3,1
"China","Suzhou","Educational","Office",3,2
"China","Suzhou","Educational","Classroom",3,3
"China","Shanghai","Commercial","Office",4,1
"China","Shanghai","Commercial","Office",4,2
"China","Shanghai","Commercial","Office",4,3
"China","Shanghai","Commercial","Office",5,1
"China","Shanghai","Commercial","Office",5,2
"China","Kunshan","Residential","Apartment",6,1
"China","Kunshan","Residential","Apartment",6,2
"China","Kunshan","Residential","Apartment",6,3
"China","Kunshan","Residential","Apartment",6,4
"China","Nanjing","Residential","Apartment",7,1
"China","Nanjing","Residential","Apartment",7,2
"China","Nanjing","Residential","Apartment",7,3
"China","Nanjing","Residential","Apartment",7,4
"China","Tianjin","Residential","Apartment",8,1
"China","Tianjin","Residential","Apartment",8,2
"China","Tianjin","Residential","Apartment",8,3
"China","Tianjin","Residential","Apartment",8,6
"China","Tianjin","Residential","Apartment",8,7
"China","Tianjin","Residential","Apartment",8,8
"China","Tianjin","Residential","Apartment",8,9
"China","Tianjin","Residential","Apartment",8,10
